date,long_swap_usd_per_lot,short_swap_usd_per_lot
2022-02-21,-91.7,41.265
2022-02-22,-91.7,41.265
2022-02-23,-275.1,123.795
2022-02-24,-91.7,41.265
2022-02-25,-91.7,41.265
2022-02-26,-91.7,41.265
2022-02-27,-91.7,41.265
2022-02-28,-91.7,41.265
2022-03-01,-91.7,41.265
2022-03-02,-275.1,123.795
2022-03-03,-91.7,41.265
2022-03-04,-91.7,41.265
2022-03-05,-91.7,41.265
2022-03-06,-91.7,41.265
2022-03-07,-91.7,41.265
2022-03-08,-91.7,41.265
2022-03-09,-275.1,123.795
2022-03-10,-91.7,41.265
2022-03-11,-91.7,41.265
2022-03-12,-91.7,41.265
2022-03-13,-91.7,41.265
2022-03-14,-91.7,41.265
2022-03-15,-91.7,41.265
2022-03-16,-275.1,123.795
2022-03-17,-91.7,41.265
2022-03-18,-91.7,41.265
2022-03-19,-91.7,41.265
2022-03-20,-91.7,41.265
2022-03-21,-91.7,41.265
2022-03-22,-91.7,41.265
2022-03-23,-275.1,123.795
2022-03-24,-91.7,41.265
2022-03-25,-91.7,41.265
2022-03-26,-91.7,41.265
2022-03-27,-91.7,41.265
2022-03-28,-91.7,41.265
2022-03-29,-91.7,41.265
2022-03-30,-275.1,123.795
2022-03-31,-91.7,41.265
2022-04-01,-91.7,41.265
2022-04-02,-91.7,41.265
2022-04-03,-91.7,41.265
2022-04-04,-91.7,41.265
2022-04-05,-91.7,41.265
2022-04-06,-275.1,123.795
2022-04-07,-91.7,41.265
2022-04-08,-91.7,41.265
2022-04-09,-91.7,41.265
2022-04-10,-91.7,41.265
2022-04-11,-91.7,41.265
2022-04-12,-91.7,41.265
2022-04-13,-275.1,123.795
2022-04-14,-91.7,41.265
2022-04-15,-91.7,41.265
2022-04-16,-91.7,41.265
2022-04-17,-91.7,41.265
2022-04-18,-91.7,41.265
2022-04-19,-91.7,41.265
2022-04-20,-275.1,123.795
2022-04-21,-91.7,41.265
2022-04-22,-91.7,41.265
2022-04-23,-91.7,41.265
2022-04-24,-91.7,41.265
2022-04-25,-91.7,41.265
2022-04-26,-91.7,41.265
2022-04-27,-275.1,123.795
2022-04-28,-91.7,41.265
2022-04-29,-91.7,41.265
2022-04-30,-91.7,41.265
2022-05-01,-91.7,41.265
2022-05-02,-91.7,41.265
2022-05-03,-91.7,41.265
2022-05-04,-275.1,123.795
2022-05-05,-91.7,41.265
2022-05-06,-91.7,41.265
2022-05-07,-91.7,41.265
2022-05-08,-91.7,41.265
2022-05-09,-91.7,41.265
2022-05-10,-91.7,41.265
2022-05-11,-275.1,123.795
2022-05-12,-91.7,41.265
2022-05-13,-91.7,41.265
2022-05-14,-91.7,41.265
2022-05-15,-91.7,41.265
2022-05-16,-91.7,41.265
2022-05-17,-91.7,41.265
2022-05-18,-275.1,123.795
2022-05-19,-91.7,41.265
2022-05-20,-91.7,41.265
2022-05-21,-91.7,41.265
2022-05-22,-91.7,41.265
2022-05-23,-91.7,41.265
2022-05-24,-91.7,41.265
2022-05-25,-275.1,123.795
2022-05-26,-91.7,41.265
2022-05-27,-91.7,41.265
2022-05-28,-91.7,41.265
2022-05-29,-91.7,41.265
2022-05-30,-91.7,41.265
2022-05-31,-91.7,41.265
2022-06-01,-275.1,123.795
2022-06-02,-91.7,41.265
2022-06-03,-91.7,41.265
2022-06-04,-91.7,41.265
2022-06-05,-91.7,41.265
2022-06-06,-91.7,41.265
2022-06-07,-91.7,41.265
2022-06-08,-275.1,123.795
2022-06-09,-91.7,41.265
2022-06-10,-91.7,41.265
2022-06-11,-91.7,41.265
2022-06-12,-91.7,41.265
2022-06-13,-91.7,41.265
2022-06-14,-91.7,41.265
2022-06-15,-275.1,123.795
2022-06-16,-91.7,41.265
2022-06-17,-91.7,41.265
2022-06-18,-91.7,41.265
2022-06-19,-91.7,41.265
2022-06-20,-91.7,41.265
2022-06-21,-91.7,41.265
2022-06-22,-275.1,123.795
2022-06-23,-91.7,41.265
2022-06-24,-91.7,41.265
2022-06-25,-91.7,41.265
2022-06-26,-91.7,41.265
2022-06-27,-91.7,41.265
2022-06-28,-91.7,41.265
2022-06-29,-275.1,123.795
2022-06-30,-91.7,41.265
2022-07-01,-91.7,41.265
2022-07-02,-91.7,41.265
2022-07-03,-91.7,41.265
2022-07-04,-91.7,41.265
2022-07-05,-91.7,41.265
2022-07-06,-275.1,123.795
2022-07-07,-91.7,41.265
2022-07-08,-91.7,41.265
2022-07-09,-91.7,41.265
2022-07-10,-91.7,41.265
2022-07-11,-91.7,41.265
2022-07-12,-91.7,41.265
2022-07-13,-275.1,123.795
2022-07-14,-91.7,41.265
2022-07-15,-91.7,41.265
2022-07-16,-91.7,41.265
2022-07-17,-91.7,41.265
2022-07-18,-91.7,41.265
2022-07-19,-91.7,41.265
2022-07-20,-275.1,123.795
2022-07-21,-91.7,41.265
2022-07-22,-91.7,41.265
2022-07-23,-91.7,41.265
2022-07-24,-91.7,41.265
2022-07-25,-91.7,41.265
2022-07-26,-91.7,41.265
2022-07-27,-275.1,123.795
2022-07-28,-91.7,41.265
2022-07-29,-91.7,41.265
2022-07-30,-91.7,41.265
2022-07-31,-91.7,41.265
2022-08-01,-91.7,41.265
2022-08-02,-91.7,41.265
2022-08-03,-275.1,123.795
2022-08-04,-91.7,41.265
2022-08-05,-91.7,41.265
2022-08-06,-91.7,41.265
2022-08-07,-91.7,41.265
2022-08-08,-91.7,41.265
2022-08-09,-91.7,41.265
2022-08-10,-275.1,123.795
2022-08-11,-91.7,41.265
2022-08-12,-91.7,41.265
2022-08-13,-91.7,41.265
2022-08-14,-91.7,41.265
2022-08-15,-91.7,41.265
2022-08-16,-91.7,41.265
2022-08-17,-275.1,123.795
2022-08-18,-91.7,41.265
2022-08-19,-91.7,41.265
2022-08-20,-91.7,41.265
2022-08-21,-91.7,41.265
2022-08-22,-91.7,41.265
2022-08-23,-91.7,41.265
2022-08-24,-275.1,123.795
2022-08-25,-91.7,41.265
2022-08-26,-91.7,41.265
2022-08-27,-91.7,41.265
2022-08-28,-91.7,41.265
2022-08-29,-91.7,41.265
2022-08-30,-91.7,41.265
2022-08-31,-275.1,123.795
2022-09-01,-91.7,41.265
2022-09-02,-91.7,41.265
2022-09-03,-91.7,41.265
2022-09-04,-91.7,41.265
2022-09-05,-91.7,41.265
2022-09-06,-91.7,41.265
2022-09-07,-275.1,123.795
2022-09-08,-91.7,41.265
2022-09-09,-91.7,41.265
2022-09-10,-91.7,41.265
2022-09-11,-91.7,41.265
2022-09-12,-91.7,41.265
2022-09-13,-91.7,41.265
2022-09-14,-275.1,123.795
2022-09-15,-91.7,41.265
2022-09-16,-91.7,41.265
2022-09-17,-91.7,41.265
2022-09-18,-91.7,41.265
2022-09-19,-91.7,41.265
2022-09-20,-91.7,41.265
2022-09-21,-275.1,123.795
2022-09-22,-91.7,41.265
2022-09-23,-91.7,41.265
2022-09-24,-91.7,41.265
2022-09-25,-91.7,41.265
2022-09-26,-91.7,41.265
2022-09-27,-91.7,41.265
2022-09-28,-275.1,123.795
2022-09-29,-91.7,41.265
2022-09-30,-91.7,41.265
2022-10-01,-91.7,41.265
2022-10-02,-91.7,41.265
2022-10-03,-91.7,41.265
2022-10-04,-91.7,41.265
2022-10-05,-275.1,123.795
2022-10-06,-91.7,41.265
2022-10-07,-91.7,41.265
2022-10-08,-91.7,41.265
2022-10-09,-91.7,41.265
2022-10-10,-91.7,41.265
2022-10-11,-91.7,41.265
2022-10-12,-275.1,123.795
2022-10-13,-91.7,41.265
2022-10-14,-91.7,41.265
2022-10-15,-91.7,41.265
2022-10-16,-91.7,41.265
2022-10-17,-91.7,41.265
2022-10-18,-91.7,41.265
2022-10-19,-275.1,123.795
2022-10-20,-91.7,41.265
2022-10-21,-91.7,41.265
2022-10-22,-91.7,41.265
2022-10-23,-91.7,41.265
2022-10-24,-91.7,41.265
2022-10-25,-91.7,41.265
2022-10-26,-275.1,123.795
2022-10-27,-91.7,41.265
2022-10-28,-91.7,41.265
2022-10-29,-91.7,41.265
2022-10-30,-91.7,41.265
2022-10-31,-91.7,41.265
2022-11-01,-91.7,41.265
2022-11-02,-275.1,123.795
2022-11-03,-91.7,41.265
2022-11-04,-91.7,41.265
2022-11-05,-91.7,41.265
2022-11-06,-91.7,41.265
2022-11-07,-91.7,41.265
2022-11-08,-91.7,41.265
2022-11-09,-275.1,123.795
2022-11-10,-91.7,41.265
2022-11-11,-91.7,41.265
2022-11-12,-91.7,41.265
2022-11-13,-91.7,41.265
2022-11-14,-91.7,41.265
2022-11-15,-91.7,41.265
2022-11-16,-275.1,123.795
2022-11-17,-91.7,41.265
2022-11-18,-91.7,41.265
2022-11-19,-91.7,41.265
2022-11-20,-91.7,41.265
2022-11-21,-91.7,41.265
2022-11-22,-91.7,41.265
2022-11-23,-275.1,123.795
2022-11-24,-91.7,41.265
2022-11-25,-91.7,41.265
2022-11-26,-91.7,41.265
2022-11-27,-91.7,41.265
2022-11-28,-91.7,41.265
2022-11-29,-91.7,41.265
2022-11-30,-275.1,123.795
2022-12-01,-91.7,41.265
2022-12-02,-91.7,41.265
2022-12-03,-91.7,41.265
2022-12-04,-91.7,41.265
2022-12-05,-91.7,41.265
2022-12-06,-91.7,41.265
2022-12-07,-275.1,123.795
2022-12-08,-91.7,41.265
2022-12-09,-91.7,41.265
2022-12-10,-91.7,41.265
2022-12-11,-91.7,41.265
2022-12-12,-91.7,41.265
2022-12-13,-91.7,41.265
2022-12-14,-275.1,123.795
2022-12-15,-91.7,41.265
2022-12-16,-91.7,41.265
2022-12-17,-91.7,41.265
2022-12-18,-91.7,41.265
2022-12-19,-91.7,41.265
2022-12-20,-91.7,41.265
2022-12-21,-275.1,123.795
2022-12-22,-91.7,41.265
2022-12-23,-91.7,41.265
2022-12-24,-91.7,41.265
2022-12-25,-91.7,41.265
2022-12-26,-91.7,41.265
2022-12-27,-91.7,41.265
2022-12-28,-275.1,123.795
2022-12-29,-91.7,41.265
2022-12-30,-91.7,41.265
2022-12-31,-91.7,41.265
2023-01-01,-91.7,41.265
2023-01-02,-91.7,41.265
2023-01-03,-91.7,41.265
2023-01-04,-275.1,123.795
2023-01-05,-91.7,41.265
2023-01-06,-91.7,41.265
2023-01-07,-91.7,41.265
2023-01-08,-91.7,41.265
2023-01-09,-91.7,41.265
2023-01-10,-91.7,41.265
2023-01-11,-275.1,123.795
2023-01-12,-91.7,41.265
2023-01-13,-91.7,41.265
2023-01-14,-91.7,41.265
2023-01-15,-91.7,41.265
2023-01-16,-91.7,41.265
2023-01-17,-91.7,41.265
2023-01-18,-275.1,123.795
2023-01-19,-91.7,41.265
2023-01-20,-91.7,41.265
2023-01-21,-91.7,41.265
2023-01-22,-91.7,41.265
2023-01-23,-91.7,41.265
2023-01-24,-91.7,41.265
2023-01-25,-275.1,123.795
2023-01-26,-91.7,41.265
2023-01-27,-91.7,41.265
2023-01-28,-91.7,41.265
2023-01-29,-91.7,41.265
2023-01-30,-91.7,41.265
2023-01-31,-91.7,41.265
2023-02-01,-275.1,123.795
2023-02-02,-91.7,41.265
2023-02-03,-91.7,41.265
2023-02-04,-91.7,41.265
2023-02-05,-91.7,41.265
2023-02-06,-91.7,41.265
2023-02-07,-91.7,41.265
2023-02-08,-275.1,123.795
2023-02-09,-91.7,41.265
2023-02-10,-91.7,41.265
2023-02-11,-91.7,41.265
2023-02-12,-91.7,41.265
2023-02-13,-91.7,41.265
2023-02-14,-91.7,41.265
2023-02-15,-275.1,123.795
2023-02-16,-91.7,41.265
2023-02-17,-91.7,41.265
2023-02-18,-91.7,41.265
2023-02-19,-91.7,41.265
2023-02-20,-91.7,41.265
2023-02-21,-91.7,41.265
2023-02-22,-275.1,123.795
2023-02-23,-91.7,41.265
2023-02-24,-91.7,41.265
2023-02-25,-91.7,41.265
2023-02-26,-91.7,41.265
2023-02-27,-91.7,41.265
2023-02-28,-91.7,41.265
2023-03-01,-275.1,123.795
2023-03-02,-91.7,41.265
2023-03-03,-91.7,41.265
2023-03-04,-91.7,41.265
2023-03-05,-91.7,41.265
2023-03-06,-91.7,41.265
2023-03-07,-91.7,41.265
2023-03-08,-275.1,123.795
2023-03-09,-91.7,41.265
2023-03-10,-91.7,41.265
2023-03-11,-91.7,41.265
2023-03-12,-91.7,41.265
2023-03-13,-91.7,41.265
2023-03-14,-91.7,41.265
2023-03-15,-275.1,123.795
2023-03-16,-91.7,41.265
2023-03-17,-91.7,41.265
2023-03-18,-91.7,41.265
2023-03-19,-91.7,41.265
2023-03-20,-91.7,41.265
2023-03-21,-91.7,41.265
2023-03-22,-275.1,123.795
2023-03-23,-91.7,41.265
2023-03-24,-91.7,41.265
2023-03-25,-91.7,41.265
2023-03-26,-91.7,41.265
2023-03-27,-91.7,41.265
2023-03-28,-91.7,41.265
2023-03-29,-275.1,123.795
2023-03-30,-91.7,41.265
2023-03-31,-91.7,41.265
2023-04-01,-91.7,41.265
2023-04-02,-91.7,41.265
2023-04-03,-91.7,41.265
2023-04-04,-91.7,41.265
2023-04-05,-275.1,123.795
2023-04-06,-91.7,41.265
2023-04-07,-91.7,41.265
2023-04-08,-91.7,41.265
2023-04-09,-91.7,41.265
2023-04-10,-91.7,41.265
2023-04-11,-91.7,41.265
2023-04-12,-275.1,123.795
2023-04-13,-91.7,41.265
2023-04-14,-91.7,41.265
2023-04-15,-91.7,41.265
2023-04-16,-91.7,41.265
2023-04-17,-91.7,41.265
2023-04-18,-91.7,41.265
2023-04-19,-275.1,123.795
2023-04-20,-91.7,41.265
2023-04-21,-91.7,41.265
2023-04-22,-91.7,41.265
2023-04-23,-91.7,41.265
2023-04-24,-91.7,41.265
2023-04-25,-91.7,41.265
2023-04-26,-275.1,123.795
2023-04-27,-91.7,41.265
2023-04-28,-91.7,41.265
2023-04-29,-91.7,41.265
2023-04-30,-91.7,41.265
2023-05-01,-91.7,41.265
2023-05-02,-91.7,41.265
2023-05-03,-275.1,123.795
2023-05-04,-91.7,41.265
2023-05-05,-91.7,41.265
2023-05-06,-91.7,41.265
2023-05-07,-91.7,41.265
2023-05-08,-91.7,41.265
2023-05-09,-91.7,41.265
2023-05-10,-275.1,123.795
2023-05-11,-91.7,41.265
2023-05-12,-91.7,41.265
2023-05-13,-91.7,41.265
2023-05-14,-91.7,41.265
2023-05-15,-91.7,41.265
2023-05-16,-91.7,41.265
2023-05-17,-275.1,123.795
2023-05-18,-91.7,41.265
2023-05-19,-91.7,41.265
2023-05-20,-91.7,41.265
2023-05-21,-91.7,41.265
2023-05-22,-91.7,41.265
2023-05-23,-91.7,41.265
2023-05-24,-275.1,123.795
2023-05-25,-91.7,41.265
2023-05-26,-91.7,41.265
2023-05-27,-91.7,41.265
2023-05-28,-91.7,41.265
2023-05-29,-91.7,41.265
2023-05-30,-91.7,41.265
2023-05-31,-275.1,123.795
2023-06-01,-91.7,41.265
2023-06-02,-91.7,41.265
2023-06-03,-91.7,41.265
2023-06-04,-91.7,41.265
2023-06-05,-91.7,41.265
2023-06-06,-91.7,41.265
2023-06-07,-275.1,123.795
2023-06-08,-91.7,41.265
2023-06-09,-91.7,41.265
2023-06-10,-91.7,41.265
2023-06-11,-91.7,41.265
2023-06-12,-91.7,41.265
2023-06-13,-91.7,41.265
2023-06-14,-275.1,123.795
2023-06-15,-91.7,41.265
2023-06-16,-91.7,41.265
2023-06-17,-91.7,41.265
2023-06-18,-91.7,41.265
2023-06-19,-91.7,41.265
2023-06-20,-91.7,41.265
2023-06-21,-275.1,123.795
2023-06-22,-91.7,41.265
2023-06-23,-91.7,41.265
2023-06-24,-91.7,41.265
2023-06-25,-91.7,41.265
2023-06-26,-91.7,41.265
2023-06-27,-91.7,41.265
2023-06-28,-275.1,123.795
2023-06-29,-91.7,41.265
2023-06-30,-91.7,41.265
2023-07-01,-91.7,41.265
2023-07-02,-91.7,41.265
2023-07-03,-91.7,41.265
2023-07-04,-91.7,41.265
2023-07-05,-275.1,123.795
2023-07-06,-91.7,41.265
2023-07-07,-91.7,41.265
2023-07-08,-91.7,41.265
2023-07-09,-91.7,41.265
2023-07-10,-91.7,41.265
2023-07-11,-91.7,41.265
2023-07-12,-275.1,123.795
2023-07-13,-91.7,41.265
2023-07-14,-91.7,41.265
2023-07-15,-91.7,41.265
2023-07-16,-91.7,41.265
2023-07-17,-91.7,41.265
2023-07-18,-91.7,41.265
2023-07-19,-275.1,123.795
2023-07-20,-91.7,41.265
2023-07-21,-91.7,41.265
2023-07-22,-91.7,41.265
2023-07-23,-91.7,41.265
2023-07-24,-91.7,41.265
2023-07-25,-91.7,41.265
2023-07-26,-275.1,123.795
2023-07-27,-91.7,41.265
2023-07-28,-91.7,41.265
2023-07-29,-91.7,41.265
2023-07-30,-91.7,41.265
2023-07-31,-91.7,41.265
2023-08-01,-91.7,41.265
2023-08-02,-275.1,123.795
2023-08-03,-91.7,41.265
2023-08-04,-91.7,41.265
2023-08-05,-91.7,41.265
2023-08-06,-91.7,41.265
2023-08-07,-91.7,41.265
2023-08-08,-91.7,41.265
2023-08-09,-275.1,123.795
2023-08-10,-91.7,41.265
2023-08-11,-91.7,41.265
2023-08-12,-91.7,41.265
2023-08-13,-91.7,41.265
2023-08-14,-91.7,41.265
2023-08-15,-91.7,41.265
2023-08-16,-275.1,123.795
2023-08-17,-91.7,41.265
2023-08-18,-91.7,41.265
2023-08-19,-91.7,41.265
2023-08-20,-91.7,41.265
2023-08-21,-91.7,41.265
2023-08-22,-91.7,41.265
2023-08-23,-275.1,123.795
2023-08-24,-91.7,41.265
2023-08-25,-91.7,41.265
2023-08-26,-91.7,41.265
2023-08-27,-91.7,41.265
2023-08-28,-91.7,41.265
2023-08-29,-91.7,41.265
2023-08-30,-275.1,123.795
2023-08-31,-91.7,41.265
2023-09-01,-91.7,41.265
2023-09-02,-91.7,41.265
2023-09-03,-91.7,41.265
2023-09-04,-91.7,41.265
2023-09-05,-91.7,41.265
2023-09-06,-275.1,123.795
2023-09-07,-91.7,41.265
2023-09-08,-91.7,41.265
2023-09-09,-91.7,41.265
2023-09-10,-91.7,41.265
2023-09-11,-91.7,41.265
2023-09-12,-91.7,41.265
2023-09-13,-275.1,123.795
2023-09-14,-91.7,41.265
2023-09-15,-91.7,41.265
2023-09-16,-91.7,41.265
2023-09-17,-91.7,41.265
2023-09-18,-91.7,41.265
2023-09-19,-91.7,41.265
2023-09-20,-275.1,123.795
2023-09-21,-91.7,41.265
2023-09-22,-91.7,41.265
2023-09-23,-91.7,41.265
2023-09-24,-91.7,41.265
2023-09-25,-91.7,41.265
2023-09-26,-91.7,41.265
2023-09-27,-275.1,123.795
2023-09-28,-91.7,41.265
2023-09-29,-91.7,41.265
2023-09-30,-91.7,41.265
2023-10-01,-91.7,41.265
2023-10-02,-91.7,41.265
2023-10-03,-91.7,41.265
2023-10-04,-275.1,123.795
2023-10-05,-91.7,41.265
2023-10-06,-91.7,41.265
2023-10-07,-91.7,41.265
2023-10-08,-91.7,41.265
2023-10-09,-91.7,41.265
2023-10-10,-91.7,41.265
2023-10-11,-275.1,123.795
2023-10-12,-91.7,41.265
2023-10-13,-91.7,41.265
2023-10-14,-91.7,41.265
2023-10-15,-91.7,41.265
2023-10-16,-91.7,41.265
2023-10-17,-91.7,41.265
2023-10-18,-275.1,123.795
2023-10-19,-91.7,41.265
2023-10-20,-91.7,41.265
2023-10-21,-91.7,41.265
2023-10-22,-91.7,41.265
2023-10-23,-91.7,41.265
2023-10-24,-91.7,41.265
2023-10-25,-275.1,123.795
2023-10-26,-91.7,41.265
2023-10-27,-91.7,41.265
2023-10-28,-91.7,41.265
2023-10-29,-91.7,41.265
2023-10-30,-91.7,41.265
2023-10-31,-91.7,41.265
2023-11-01,-275.1,123.795
2023-11-02,-91.7,41.265
2023-11-03,-91.7,41.265
2023-11-04,-91.7,41.265
2023-11-05,-91.7,41.265
2023-11-06,-91.7,41.265
2023-11-07,-91.7,41.265
2023-11-08,-275.1,123.795
2023-11-09,-91.7,41.265
2023-11-10,-91.7,41.265
2023-11-11,-91.7,41.265
2023-11-12,-91.7,41.265
2023-11-13,-91.7,41.265
2023-11-14,-91.7,41.265
2023-11-15,-275.1,123.795
2023-11-16,-91.7,41.265
2023-11-17,-91.7,41.265
2023-11-18,-91.7,41.265
2023-11-19,-91.7,41.265
2023-11-20,-91.7,41.265
2023-11-21,-91.7,41.265
2023-11-22,-275.1,123.795
2023-11-23,-91.7,41.265
2023-11-24,-91.7,41.265
2023-11-25,-91.7,41.265
2023-11-26,-91.7,41.265
2023-11-27,-91.7,41.265
2023-11-28,-91.7,41.265
2023-11-29,-275.1,123.795
2023-11-30,-91.7,41.265
2023-12-01,-91.7,41.265
2023-12-02,-91.7,41.265
2023-12-03,-91.7,41.265
2023-12-04,-91.7,41.265
2023-12-05,-91.7,41.265
2023-12-06,-275.1,123.795
2023-12-07,-91.7,41.265
2023-12-08,-91.7,41.265
2023-12-09,-91.7,41.265
2023-12-10,-91.7,41.265
2023-12-11,-91.7,41.265
2023-12-12,-91.7,41.265
2023-12-13,-275.1,123.795
2023-12-14,-91.7,41.265
2023-12-15,-91.7,41.265
2023-12-16,-91.7,41.265
2023-12-17,-91.7,41.265
2023-12-18,-91.7,41.265
2023-12-19,-91.7,41.265
2023-12-20,-275.1,123.795
2023-12-21,-91.7,41.265
2023-12-22,-91.7,41.265
2023-12-23,-91.7,41.265
2023-12-24,-91.7,41.265
2023-12-25,-91.7,41.265
2023-12-26,-91.7,41.265
2023-12-27,-275.1,123.795
2023-12-28,-91.7,41.265
2023-12-29,-91.7,41.265
2023-12-30,-91.7,41.265
2023-12-31,-91.7,41.265
2024-01-01,-91.7,41.265
2024-01-02,-91.7,41.265
2024-01-03,-275.1,123.795
2024-01-04,-91.7,41.265
2024-01-05,-91.7,41.265
2024-01-06,-91.7,41.265
2024-01-07,-91.7,41.265
2024-01-08,-91.7,41.265
2024-01-09,-91.7,41.265
2024-01-10,-275.1,123.795
2024-01-11,-91.7,41.265
2024-01-12,-91.7,41.265
2024-01-13,-91.7,41.265
2024-01-14,-91.7,41.265
2024-01-15,-91.7,41.265
2024-01-16,-91.7,41.265
2024-01-17,-275.1,123.795
2024-01-18,-91.7,41.265
2024-01-19,-91.7,41.265
2024-01-20,-91.7,41.265
2024-01-21,-91.7,41.265
2024-01-22,-91.7,41.265
2024-01-23,-91.7,41.265
2024-01-24,-275.1,123.795
2024-01-25,-91.7,41.265
2024-01-26,-91.7,41.265
2024-01-27,-91.7,41.265
2024-01-28,-91.7,41.265
2024-01-29,-91.7,41.265
2024-01-30,-91.7,41.265
2024-01-31,-275.1,123.795
2024-02-01,-91.7,41.265
2024-02-02,-91.7,41.265
2024-02-03,-91.7,41.265
2024-02-04,-91.7,41.265
2024-02-05,-91.7,41.265
2024-02-06,-91.7,41.265
2024-02-07,-275.1,123.795
2024-02-08,-91.7,41.265
2024-02-09,-91.7,41.265
2024-02-10,-91.7,41.265
2024-02-11,-91.7,41.265
2024-02-12,-91.7,41.265
2024-02-13,-91.7,41.265
2024-02-14,-275.1,123.795
2024-02-15,-91.7,41.265
2024-02-16,-91.7,41.265
2024-02-17,-91.7,41.265
2024-02-18,-91.7,41.265
2024-02-19,-91.7,41.265
2024-02-20,-91.7,41.265
2024-02-21,-275.1,123.795
2024-02-22,-91.7,41.265
2024-02-23,-91.7,41.265
2024-02-24,-91.7,41.265
2024-02-25,-91.7,41.265
2024-02-26,-91.7,41.265
2024-02-27,-91.7,41.265
2024-02-28,-275.1,123.795
2024-02-29,-91.7,41.265
2024-03-01,-91.7,41.265
2024-03-02,-91.7,41.265
2024-03-03,-91.7,41.265
2024-03-04,-91.7,41.265
2024-03-05,-91.7,41.265
2024-03-06,-275.1,123.795
2024-03-07,-91.7,41.265
2024-03-08,-91.7,41.265
2024-03-09,-91.7,41.265
2024-03-10,-91.7,41.265
2024-03-11,-91.7,41.265
2024-03-12,-91.7,41.265
2024-03-13,-275.1,123.795
2024-03-14,-91.7,41.265
2024-03-15,-91.7,41.265
2024-03-16,-91.7,41.265
2024-03-17,-91.7,41.265
2024-03-18,-91.7,41.265
2024-03-19,-91.7,41.265
2024-03-20,-275.1,123.795
2024-03-21,-91.7,41.265
2024-03-22,-91.7,41.265
2024-03-23,-91.7,41.265
2024-03-24,-91.7,41.265
2024-03-25,-91.7,41.265
2024-03-26,-91.7,41.265
2024-03-27,-275.1,123.795
2024-03-28,-91.7,41.265
2024-03-29,-91.7,41.265
2024-03-30,-91.7,41.265
2024-03-31,-91.7,41.265
2024-04-01,-91.7,41.265
2024-04-02,-91.7,41.265
2024-04-03,-275.1,123.795
2024-04-04,-91.7,41.265
2024-04-05,-91.7,41.265
2024-04-06,-91.7,41.265
2024-04-07,-91.7,41.265
2024-04-08,-91.7,41.265
2024-04-09,-91.7,41.265
2024-04-10,-275.1,123.795
2024-04-11,-91.7,41.265
2024-04-12,-91.7,41.265
2024-04-13,-91.7,41.265
2024-04-14,-91.7,41.265
2024-04-15,-91.7,41.265
2024-04-16,-91.7,41.265
2024-04-17,-275.1,123.795
2024-04-18,-91.7,41.265
2024-04-19,-91.7,41.265
